data entrega,producte,client,desti,pes,transportista
11/5/2023,producte4,client4,desti6,55,transportista2
11/12/2022,producte3,client2,desti5,85,transportista1
3/27/2024,producte5,client2,desti,76,transportista1
7/5/2023,producte4,client1,desti5,100,transportista1
12/16/2023,producte2,client1,desti,79,transportista2
9/8/2022,producte3,client6,desti,90,transportista5
10/5/2024,producte5,client3,desti,75,transportista6
7/5/2023,producte1,client3,desti4,92,transportista2
1/24/2024,producte4,client4,desti4,57,transportista1
1/27/2024,producte2,client5,desti6,85,transportista3
10/1/2024,producte2,client1,desti2,97,transportista5
4/29/2024,producte3,client4,desti4,80,transportista5
10/6/2024,producte2,client2,desti6,66,transportista2
5/13/2022,producte6,client2,desti5,88,transportista5
12/7/2024,producte3,client5,desti3,73,transportista1
4/1/2022,producte6,client3,desti,79,transportista5
9/2/2023,producte5,client6,desti,72,transportista2
2/26/2022,producte1,client6,desti2,69,transportista4
7/26/2023,producte6,client5,desti5,73,transportista5
9/24/2023,producte4,client1,desti2,72,transportista1
11/30/2024,producte4,client1,desti4,96,transportista4
11/4/2024,producte2,client6,desti4,86,transportista2
7/3/2024,producte6,client3,desti4,72,transportista4
8/26/2023,producte4,client6,desti,76,transportista6
1/8/2024,producte2,client3,desti6,52,transportista2
9/23/2024,producte1,client5,desti3,90,transportista1
7/24/2023,producte4,client1,desti,53,transportista4
3/30/2023,producte5,client3,desti4,81,transportista6
12/7/2022,producte1,client2,desti4,60,transportista1
2/24/2022,producte3,client2,desti,64,transportista2
8/29/2024,producte6,client4,desti2,77,transportista6
12/6/2024,producte2,client5,desti5,91,transportista2
1/30/2023,producte3,client2,desti3,64,transportista3
1/31/2022,producte4,client6,desti4,56,transportista6
1/16/2023,producte2,client5,desti5,80,transportista3
6/2/2022,producte6,client6,desti3,85,transportista3
12/10/2024,producte1,client3,desti2,67,transportista6
10/19/2022,producte4,client6,desti,70,transportista5
4/17/2023,producte6,client2,desti6,94,transportista3
10/21/2022,producte4,client5,desti6,59,transportista3
3/12/2023,producte2,client3,desti6,81,transportista5
4/15/2023,producte1,client2,desti2,70,transportista4
4/19/2023,producte6,client1,desti6,99,transportista5
11/26/2022,producte1,client4,desti5,86,transportista3
1/26/2022,producte1,client2,desti5,84,transportista2
2/28/2024,producte2,client4,desti4,57,transportista1
3/5/2023,producte5,client5,desti6,71,transportista6
8/10/2023,producte4,client3,desti,54,transportista5
11/23/2022,producte2,client1,desti3,63,transportista4
2/5/2022,producte2,client6,desti5,66,transportista2
12/7/2022,producte6,client4,desti6,50,transportista5
8/1/2022,producte1,client5,desti2,61,transportista2
8/12/2023,producte3,client1,desti3,72,transportista3
7/4/2022,producte2,client3,desti4,91,transportista3
7/15/2022,producte4,client3,desti5,66,transportista2
12/24/2022,producte4,client3,desti6,89,transportista5
6/3/2022,producte1,client1,desti5,83,transportista6
9/30/2023,producte5,client5,desti4,97,transportista2
11/24/2024,producte3,client2,desti6,96,transportista5
2/5/2024,producte4,client6,desti4,85,transportista2
11/25/2024,producte1,client5,desti5,88,transportista4
7/22/2022,producte3,client2,desti4,93,transportista1
7/17/2024,producte1,client4,desti5,78,transportista3
7/19/2024,producte4,client2,desti6,66,transportista5
4/19/2022,producte1,client6,desti3,92,transportista1
9/4/2024,producte4,client2,desti2,52,transportista5
8/7/2022,producte3,client5,desti6,80,transportista2
3/18/2022,producte2,client5,desti4,81,transportista1
4/9/2024,producte4,client5,desti3,65,transportista6
11/22/2023,producte1,client5,desti6,82,transportista1
9/4/2023,producte3,client6,desti5,65,transportista1
1/31/2022,producte4,client4,desti3,77,transportista3
7/22/2024,producte3,client1,desti,66,transportista6
8/6/2022,producte2,client1,desti4,50,transportista5
2/4/2022,producte3,client5,desti4,65,transportista3
9/12/2023,producte3,client2,desti4,100,transportista2
9/3/2022,producte3,client6,desti6,93,transportista2
2/27/2024,producte5,client2,desti5,61,transportista2
4/20/2023,producte4,client6,desti2,61,transportista1
12/16/2023,producte6,client5,desti5,68,transportista6
12/25/2022,producte5,client6,desti2,91,transportista6
3/31/2022,producte4,client5,desti2,73,transportista1
12/16/2022,producte3,client1,desti4,75,transportista3
6/9/2023,producte5,client2,desti6,68,transportista6
7/7/2023,producte2,client6,desti2,85,transportista4
1/28/2023,producte4,client1,desti2,53,transportista1
7/22/2022,producte5,client6,desti2,85,transportista4
8/23/2024,producte3,client2,desti2,66,transportista5
11/19/2022,producte1,client6,desti6,79,transportista5
5/19/2023,producte1,client5,desti5,60,transportista1
11/11/2022,producte5,client6,desti6,55,transportista4
7/27/2022,producte1,client2,desti4,90,transportista2
8/29/2024,producte3,client6,desti6,60,transportista2
9/8/2024,producte1,client5,desti6,72,transportista1
11/14/2022,producte1,client3,desti4,93,transportista3
1/16/2022,producte5,client4,desti6,100,transportista4
8/11/2023,producte3,client6,desti4,67,transportista6
3/25/2023,producte1,client6,desti,83,transportista3
